,Year,District,Crop,Season,Rainfall_mm,Avg_Temp_C,Area_Ha,y,y_pred1
426,2007,angul,groundnut,winter,31,21,56,1.06,0.9925192
427,2008,angul,groundnut,winter,29,25,89,1.4,1.0436825
428,2009,angul,groundnut,winter,30.5,28,245,1.53,1.0864205
429,2010,angul,groundnut,winter,32.1,27,252,1.05,1.0804268
430,2011,angul,groundnut,winter,35,26,287,1.22,1.095989
431,2012,angul,groundnut,winter,30,28,154,1.52,1.1577288
432,2013,angul,groundnut,winter,28,22,371,1.42,1.2792491
433,2014,angul,groundnut,winter,26,22,382,1.29,1.2792189
434,2015,angul,groundnut,winter,28,21,4,0.63,1.1024226
435,2016,angul,groundnut,winter,30,20,12,1.23,1.1681354
731,2004,angul,moong(green-gram),autumn,350,30,1574,0.13,0.18631518
732,2005,angul,moong(green-gram),autumn,230,29,2150,0.13,0.16404963
733,2006,angul,moong(green-gram),autumn,289,31,2297,0.15,0.20276082
734,2007,angul,moong(green-gram),autumn,360,29,2355,0.14,0.18926904
735,2008,angul,moong(green-gram),autumn,256,28,1800,0.16,0.12539493
736,2009,angul,moong(green-gram),autumn,333,31,1901,0.13,0.2081132
737,2010,angul,moong(green-gram),autumn,313,30,2008,0.16,0.21683188
738,2011,angul,moong(green-gram),autumn,301,29,1887,0.16,0.17284355
739,2012,angul,moong(green-gram),autumn,258,28,1932,0.16,0.24315326
740,2013,angul,moong(green-gram),autumn,225,29,957,0.22,0.2947868
741,2014,angul,moong(green-gram),autumn,220,30,1276,0.24,0.32232547
742,2015,angul,moong(green-gram),autumn,236,31,732,0.26,0.2878136
743,2016,angul,moong(green-gram),autumn,225,30,886,0.3,0.37255213
744,2017,angul,moong(green-gram),autumn,214,29,1378,0.32,0.34041414
745,2018,angul,moong(green-gram),autumn,332,28,839,0.36,0.3538331
746,2019,angul,moong(green-gram),autumn,310,29,546,0.36,0.3656912
753,2004,angul,moong(green-gram),summer,35,25,476,0.24,0.2459024
754,2005,angul,moong(green-gram),summer,29,29,472,0.27,0.29384223
755,2006,angul,moong(green-gram),summer,30,30,507,0.23,0.31675324
756,2007,angul,moong(green-gram),summer,31,31,474,0.26,0.31305298
757,2008,angul,moong(green-gram),summer,32,32,405,0.24,0.31888446
758,2009,angul,moong(green-gram),summer,35,25,635,0.23,0.25737748
759,2010,angul,moong(green-gram),summer,36,25,452,0.25,0.26691043
760,2011,angul,moong(green-gram),summer,35,28,206,0.28,0.28133127
761,2012,angul,moong(green-gram),summer,36,26,349,0.31,0.34520224
762,2013,angul,moong(green-gram),summer,29,32,306,0.35,0.42292774
763,2014,angul,moong(green-gram),summer,35,32,376,0.33,0.4155941
764,2015,angul,moong(green-gram),summer,31,31,811,0.33,0.37823975
765,2016,angul,moong(green-gram),summer,28,30,416,0.43,0.441246
766,2017,angul,moong(green-gram),summer,36,29,260,0.39,0.42696774
767,2018,angul,moong(green-gram),summer,30,31.5,86,0.41,0.4324292
768,2019,angul,moong(green-gram),summer,31,32,29,0.48,0.4290961
775,2004,angul,moong(green-gram),winter,28,25,949,0.18,0.20067039
776,2005,angul,moong(green-gram),winter,27,22,918,0.22,0.22357392
777,2006,angul,moong(green-gram),winter,30,22,617,0.19,0.24329445
778,2007,angul,moong(green-gram),winter,31,21,627,0.18,0.23435995
779,2008,angul,moong(green-gram),winter,29,25,697,0.19,0.2509336
780,2009,angul,moong(green-gram),winter,30.5,28,1036,0.22,0.27660084
781,2010,angul,moong(green-gram),winter,32.1,27,1171,0.21,0.26251763
782,2011,angul,moong(green-gram),winter,35,26,816,0.19,0.25388625
783,2012,angul,moong(green-gram),winter,30,28,654,0.26,0.37005293
784,2013,angul,moong(green-gram),winter,28,22,803,0.26,0.33965808
785,2014,angul,moong(green-gram),winter,26,22,862,0.3,0.33962795
786,2015,angul,moong(green-gram),winter,28,21,376,0.27,0.29323766
787,2016,angul,moong(green-gram),winter,30,20,917,0.34,0.32574868
788,2017,angul,moong(green-gram),winter,30,25,1004,0.34,0.36909354
789,2018,angul,moong(green-gram),winter,31,24,366,0.35,0.3612407
790,2019,angul,moong(green-gram),winter,30,23,153,0.37,0.36293426
814,1999,angul,rice,autumn,225,31,20000,1.15,0.65927076
815,2000,angul,rice,autumn,347,29,22840,0.33,0.5883497
819,2004,angul,rice,autumn,350,30,23000,0.96,0.75190604
820,2005,angul,rice,autumn,230,29,25000,1.04,0.80695057
821,2006,angul,rice,autumn,289,31,21000,0.95,0.76416814
822,2007,angul,rice,autumn,360,29,19000,0.53,0.73463196
823,2008,angul,rice,autumn,256,28,16000,1.13,0.8239703
824,2009,angul,rice,autumn,333,31,21000,0.62,0.74709725
825,2010,angul,rice,autumn,313,30,16000,0.25,0.73302984
826,2011,angul,rice,autumn,301,29,14000,0.64,0.8452538
827,2012,angul,rice,autumn,258,28,14000,1.5,1.2553223
828,2013,angul,rice,autumn,225,29,13000,1.23,1.2743837
829,2014,angul,rice,autumn,220,30,15000,1.87,1.2353656
830,2015,angul,rice,autumn,236,31,12000,1,1.1141896
831,2016,angul,rice,autumn,225,30,6730,1.41,1.3849963
832,2017,angul,rice,autumn,214,29,9500,0.93,1.2682109
833,2018,angul,rice,autumn,332,28,6900,1.94,1.330042
834,2019,angul,rice,autumn,310,29,4070,2.12,1.8631425
836,1999,angul,rice,summer,30,25,4650,1.8,1.7178205
837,2000,angul,rice,summer,27,29,950,1.49,1.6822509
841,2004,angul,rice,summer,35,25,3000,1.67,1.6484843
842,2005,angul,rice,summer,29,29,4000,2,1.8120629
843,2006,angul,rice,summer,30,30,2000,2,1.8033032
844,2007,angul,rice,summer,31,31,3000,1.33,1.6516832
845,2008,angul,rice,summer,32,32,1000,1,1.6335486
846,2009,angul,rice,summer,35,25,1000,1,1.5241232
848,2011,angul,rice,summer,35,28,1000,2,1.7325463
849,2012,angul,rice,summer,36,26,173000,0.01,0.45791999
851,2014,angul,rice,summer,35,32,1000,1,2.3350666
853,2016,angul,rice,summer,28,30,240,2.42,2.617132
854,2017,angul,rice,summer,36,29,100,2.5,2.513182
855,2018,angul,rice,summer,30,31.5,230,3.04,2.5670002
856,2019,angul,rice,summer,31,32,30,3,2.5892284
858,1999,angul,rice,winter,32,28,89000,1.31,1.2760681
859,2000,angul,rice,winter,31,25,89060,0.42,1.2502838
863,2004,angul,rice,winter,28,25,91000,1.34,1.2521294
864,2005,angul,rice,winter,27,22,85000,1.65,1.607333
865,2006,angul,rice,winter,30,22,90000,1.42,1.2735866
866,2007,angul,rice,winter,31,21,83000,0.89,1.2428073
867,2008,angul,rice,winter,29,25,82000,1.38,1.3158461
868,2009,angul,rice,winter,30.5,28,83000,1.07,1.358216
869,2010,angul,rice,winter,32.1,27,68000,0.63,1.2724953
870,2011,angul,rice,winter,35,26,64000,1.05,1.2695837
871,2012,angul,rice,winter,30,28,69000,2.2,1.6475214
872,2013,angul,rice,winter,28,22,65000,2.06,1.7313516
873,2014,angul,rice,winter,26,22,75000,2.61,2.2256641
874,2015,angul,rice,winter,28,21,67000,0.76,1.4249378
875,2016,angul,rice,winter,30,20,71870,2.43,1.5718563
876,2017,angul,rice,winter,30,25,82070,1.41,1.9874772
877,2018,angul,rice,winter,31,24,61280,2.75,2.1118884
878,2019,angul,rice,winter,30,23,57960,3.18,2.0076835
885,2004,balangir,groundnut,autumn,300,31,3580,0.77,0.81917024
886,2005,balangir,groundnut,autumn,295,28,4890,0.7,0.8341295
887,2006,balangir,groundnut,autumn,280,28,5224,0.81,0.8378725
888,2007,balangir,groundnut,autumn,283,29,4890,0.94,0.86929554
889,2008,balangir,groundnut,autumn,279,30,4438,0.9,0.86525714
890,2009,balangir,groundnut,autumn,289,31,5069,0.94,0.8848748
891,2010,balangir,groundnut,autumn,265,28,5156,0.95,0.87602913
892,2011,balangir,groundnut,autumn,289,29,4627,0.61,0.89803934
893,2012,balangir,groundnut,autumn,284,29,4309,1.2,1.0667658
894,2013,balangir,groundnut,autumn,285,30,4478,1.25,1.0969833
895,2014,balangir,groundnut,autumn,265,31,4266,1.3,1.0911795
896,2015,balangir,groundnut,autumn,298,30,4128,0.85,1.0199716
897,2016,balangir,groundnut,autumn,303,30,3062,1.05,1.177787
898,2017,balangir,groundnut,autumn,301,28,737,0.96,1.1550041
899,2018,balangir,groundnut,autumn,280,29,387,1.57,1.1868385
900,2019,balangir,groundnut,autumn,281,28,699,1.62,1.5350078
907,2004,balangir,groundnut,summer,15,27,1107,1.11,1.1807923
908,2005,balangir,groundnut,summer,14,28,377,1.03,1.080915
909,2006,balangir,groundnut,summer,15.5,31,733,1.01,1.1013608
910,2007,balangir,groundnut,summer,16.5,30,791,1.27,1.1570578
911,2008,balangir,groundnut,summer,17.5,32,692,1.24,1.1343192
912,2009,balangir,groundnut,summer,18.5,33,407,1.23,1.1379596
913,2010,balangir,groundnut,summer,17.17,27,462,1.26,1.1125894
914,2011,balangir,groundnut,summer,17.5,27,251,1.33,1.1025075
915,2012,balangir,groundnut,summer,18,28,291,1.39,1.1950152
916,2013,balangir,groundnut,summer,19,29,22,2.23,1.2732756
917,2014,balangir,groundnut,summer,17,28,64,1.2,1.3409128
918,2015,balangir,groundnut,summer,16.2,28,350,1.16,1.3484683
919,2016,balangir,groundnut,summer,17,30,15,0.93,1.2219392
920,2017,balangir,groundnut,summer,18,31,35,0.98,1.2353988
921,2018,balangir,groundnut,summer,19.5,28,65,1.4,1.4391361
922,2019,balangir,groundnut,summer,18,32,116,1.61,1.9098299
929,2004,balangir,groundnut,winter,18,23,256,0.95,0.9277622
930,2005,balangir,groundnut,winter,17.5,27,11,0.89,1.0107063
931,2006,balangir,groundnut,winter,19,26,118,0.72,1.0160899
932,2007,balangir,groundnut,winter,20,25,24,0.92,1.0101944
933,2008,balangir,groundnut,winter,21,21,8,1.2,0.97482365
934,2009,balangir,groundnut,winter,23,23,621,1.02,1.0790715
935,2010,balangir,groundnut,winter,23,23,362,0.9,1.0620635
936,2011,balangir,groundnut,winter,22,24,63,1.19,1.0636853
937,2012,balangir,groundnut,winter,21,25,600,1.19,1.1938711
938,2013,balangir,groundnut,winter,21.2,25,12,1.03,1.2059435
940,2015,balangir,groundnut,winter,20.5,272,9,0.48,0.6442854
941,2016,balangir,groundnut,winter,20,28,387,0.87,1.4857609
942,2017,balangir,groundnut,winter,21,23,56,1,1.351781
1237,2004,balangir,moong(green-gram),autumn,300,31,3813,0.18,0.17594941
1238,2005,balangir,moong(green-gram),autumn,295,28,4115,0.15,0.15035513
1239,2006,balangir,moong(green-gram),autumn,280,28,4675,0.2,0.15409818
1240,2007,balangir,moong(green-gram),autumn,283,29,4979,0.18,0.18249142
1241,2008,balangir,moong(green-gram),autumn,279,30,5089,0.18,0.20526657
1242,2009,balangir,moong(green-gram),autumn,289,31,5634,0.21,0.20572993
1243,2010,balangir,moong(green-gram),autumn,265,28,7027,0.22,0.1795287
1244,2011,balangir,moong(green-gram),autumn,289,29,5351,0.16,0.17501862
1245,2012,balangir,moong(green-gram),autumn,284,29,6170,0.35,0.32042435
1246,2013,balangir,moong(green-gram),autumn,285,30,5993,0.35,0.34850332
1247,2014,balangir,moong(green-gram),autumn,265,31,5078,0.31,0.335982
1248,2015,balangir,moong(green-gram),autumn,298,30,5158,0.21,0.25367162
1249,2016,balangir,moong(green-gram),autumn,303,30,9738,0.43,0.41709042
1250,2017,balangir,moong(green-gram),autumn,301,28,1838,0.32,0.32768792
1251,2018,balangir,moong(green-gram),autumn,280,29,1675,0.28,0.3466803
1252,2019,balangir,moong(green-gram),autumn,281,28,1800,0.3,0.32778862
1259,2004,balangir,moong(green-gram),summer,35,25,1891,0.18,0.22700919
1260,2005,balangir,moong(green-gram),summer,29,29,3212,0.24,0.3018584
1261,2006,balangir,moong(green-gram),summer,30,30,2542,0.22,0.3134663
1262,2007,balangir,moong(green-gram),summer,31,31,4594,0.26,0.3209597
1263,2008,balangir,moong(green-gram),summer,32,32,3727,0.26,0.32943517
1264,2009,balangir,moong(green-gram),summer,35,25,4414,0.32,0.26515716
1265,2010,balangir,moong(green-gram),summer,36,25,3815,0.27,0.2740661
1266,2011,balangir,moong(green-gram),summer,35,28,1384,0.22,0.2764536
1267,2012,balangir,moong(green-gram),summer,36,26,2570,0.52,0.3505416
1268,2013,balangir,moong(green-gram),summer,29,32,1864,0.56,0.4227406
1269,2014,balangir,moong(green-gram),summer,35,32,1592,0.44,0.42093346
1270,2015,balangir,moong(green-gram),summer,31,31,1249,0.32,0.37777713
1271,2016,balangir,moong(green-gram),summer,28,30,935,0.38,0.43604773
1272,2017,balangir,moong(green-gram),summer,36,29,1851,0.35,0.4200754
1273,2018,balangir,moong(green-gram),summer,30,31.5,472,0.27,0.4342592
1274,2019,balangir,moong(green-gram),summer,31,32,2306,0.36,0.42661497
1281,2004,balangir,moong(green-gram),winter,18,23,3890,0.15,0.17368753
1282,2005,balangir,moong(green-gram),winter,17.5,27,3801,0.18,0.26960418
1283,2006,balangir,moong(green-gram),winter,19,26,3023,0.18,0.2447081
1284,2007,balangir,moong(green-gram),winter,20,25,5122,0.19,0.26094317
1285,2008,balangir,moong(green-gram),winter,21,21,5329,0.18,0.224117
1286,2009,balangir,moong(green-gram),winter,23,23,5722,0.22,0.23576307
1287,2010,balangir,moong(green-gram),winter,23,23,6864,0.23,0.23576307
1288,2011,balangir,moong(green-gram),winter,22,24,3852,0.13,0.24123687
1289,2012,balangir,moong(green-gram),winter,21,25,7864,0.41,0.3577628
1290,2013,balangir,moong(green-gram),winter,21.2,25,5845,0.39,0.3641795
1291,2014,balangir,moong(green-gram),winter,20.5,26,4699,0.33,0.36525434
1292,2015,balangir,moong(green-gram),winter,20.5,272,2475,0.27,0.283376
1293,2016,balangir,moong(green-gram),winter,20,28,7612,0.43,0.42421445
1294,2017,balangir,moong(green-gram),winter,21,23,2929,0.37,0.36450472
1295,2018,balangir,moong(green-gram),winter,23,23,2222,0.29,0.36036426
1296,2019,balangir,moong(green-gram),winter,25,21,3061,0.3,0.35134748
1320,1999,balangir,rice,autumn,284,31,80000,0.84,0.77843034
1321,2000,balangir,rice,autumn,282,28,83120,0.26,0.7967787
1325,2004,balangir,rice,autumn,300,31,93000,0.77,0.81192696
1326,2005,balangir,rice,autumn,295,28,88000,0.76,0.919671
1327,2006,balangir,rice,autumn,280,28,78000,1.03,0.96900713
1328,2007,balangir,rice,autumn,283,29,79000,1.3,1.0176961
1329,2008,balangir,rice,autumn,279,30,76000,1.05,0.9705899
1330,2009,balangir,rice,autumn,289,31,76000,1.03,0.9477888
1331,2010,balangir,rice,autumn,265,28,73000,1.03,0.98322064
1332,2011,balangir,rice,autumn,289,29,53000,0.26,0.87478065
1333,2012,balangir,rice,autumn,284,29,64000,2.08,1.5450459
1334,2013,balangir,rice,autumn,285,30,69000,2.1,1.418781
1335,2014,balangir,rice,autumn,265,31,73000,2.68,1.4716041
1336,2015,balangir,rice,autumn,298,30,74000,0.66,1.2492566
1337,2016,balangir,rice,autumn,303,30,78360,1.27,1.1981846
1338,2017,balangir,rice,autumn,301,28,54590,0.44,0.98765075
1339,2018,balangir,rice,autumn,280,29,51780,1.36,1.3991139
1340,2019,balangir,rice,autumn,281,28,50850,1.58,1.6867069
1342,1999,balangir,rice,summer,30,25,4220,1.51,1.8280855
1343,2000,balangir,rice,summer,27,29,1130,1.71,1.7651225
1347,2004,balangir,rice,summer,35,25,5000,1.4,1.6898357
1348,2005,balangir,rice,summer,29,29,3000,1.67,1.8862711
1349,2006,balangir,rice,summer,30,30,3000,2,1.8878514
1350,2007,balangir,rice,summer,31,31,3000,2.33,1.8991865
1351,2008,balangir,rice,summer,32,32,4000,2,1.8652219
1352,2009,balangir,rice,summer,35,25,6000,1.67,1.780119
1353,2010,balangir,rice,summer,36,25,3000,2.67,1.8480808
1354,2011,balangir,rice,summer,35,28,4000,2.25,1.8444121
1355,2012,balangir,rice,summer,36,26,623000,0.02,0.3219493
1356,2013,balangir,rice,summer,29,32,4000,3,2.4887867
1357,2014,balangir,rice,summer,35,32,3000,2.33,2.4890397
1358,2015,balangir,rice,summer,31,31,1000,3,2.3540087
1359,2016,balangir,rice,summer,28,30,1770,2.75,2.7938583
1360,2017,balangir,rice,summer,36,29,1340,2.49,2.6291482
1361,2018,balangir,rice,summer,30,31.5,390,2.54,2.6423557
1362,2019,balangir,rice,summer,31,32,2240,3.11,3.0198557
1364,1999,balangir,rice,winter,22,27,135000,1.47,1.3450421
1365,2000,balangir,rice,winter,23,23,130520,0.41,0.887672
1369,2004,balangir,rice,winter,18,23,133000,1.29,1.4062564
1370,2005,balangir,rice,winter,17.5,27,138000,1.66,1.592361
1371,2006,balangir,rice,winter,19,26,133000,1.72,1.5817213
1372,2007,balangir,rice,winter,20,25,134000,2.09,1.6291567
1373,2008,balangir,rice,winter,21,21,135000,1.62,1.5313103
1374,2009,balangir,rice,winter,23,23,139000,1.81,1.5296286
1375,2010,balangir,rice,winter,23,23,136000,2.32,1.5296286
1376,2011,balangir,rice,winter,22,24,117000,0.44,1.5102502
1377,2012,balangir,rice,winter,21,25,130000,3.77,1.8087293
1378,2013,balangir,rice,winter,21.2,25,131000,3.77,2.4263654
1379,2014,balangir,rice,winter,20.5,26,130000,3.37,2.2879865
1380,2015,balangir,rice,winter,20.5,272,117000,1.1,1.2589865
1381,2016,balangir,rice,winter,20,28,117510,2.83,2.8268158
1382,2017,balangir,rice,winter,21,23,100650,0.96,2.0154014
1383,2018,balangir,rice,winter,23,23,100910,1.44,1.9772116
1384,2019,balangir,rice,winter,25,21,121350,2.43,2.4589753
1391,2004,baleshwar,groundnut,summer,47,27,3552,1.14,1.2162234
1392,2005,baleshwar,groundnut,summer,45,28,2520,1.35,1.2524933
1393,2006,baleshwar,groundnut,summer,46,29,3623,1.26,1.2664305
1394,2007,baleshwar,groundnut,summer,48,23,3891,1.01,1.1838576
1395,2008,baleshwar,groundnut,summer,49,23,4247,0.87,1.1854125
1396,2009,baleshwar,groundnut,summer,47,22,2257,0.86,1.1983782
1397,2010,baleshwar,groundnut,summer,48,24,1778,1.08,1.2217171
1398,2011,baleshwar,groundnut,summer,48,25,2896,1.56,1.2598932
1399,2012,baleshwar,groundnut,summer,48.54,26,2400,1.37,1.2772812
1400,2013,baleshwar,groundnut,summer,49,23,1500,1.41,1.4282608
1401,2014,baleshwar,groundnut,summer,50,28,1009,1.61,1.4296427
1402,2015,baleshwar,groundnut,summer,50,25,2079,1.2,1.4034691
1403,2016,baleshwar,groundnut,summer,51,26,853,0.85,1.448667
1404,2017,baleshwar,groundnut,summer,52,24,635,1.02,1.4349775
1405,2018,baleshwar,groundnut,summer,53,25,200,1.72,1.446701
1406,2019,baleshwar,groundnut,summer,52,26,457,1.53,1.8139628
1407,2020,baleshwar,groundnut,summer,52.5,26,1315,1.52,1.8262967
1408,2021,baleshwar,groundnut,summer,52.45,26,760,1.35,1.8249311
1409,2022,baleshwar,groundnut,summer,51,28.9,1559,1.5,1.851564
1566,2004,baleshwar,moong(green-gram),summer,47,27,2380,0.31,0.32168663
1567,2005,baleshwar,moong(green-gram),summer,45,28,2435,0.32,0.33939448
1568,2006,baleshwar,moong(green-gram),summer,46,29,3765,0.31,0.3426832
1569,2007,baleshwar,moong(green-gram),summer,48,23,1963,0.3,0.312778
1570,2008,baleshwar,moong(green-gram),summer,49,23,969,0.3,0.31403604
