Year,District,Crop,Season,Rainfall_mm,Avg_Temp_C,Area_Ha,Yield_t_ha
2007,cuttack,groundnut,summer,30,29,4112,1.25
2008,cuttack,groundnut,summer,24,31,2757,1.2
2009,cuttack,groundnut,summer,26,28,2222,1.15
2010,cuttack,groundnut,summer,30,31,1463,1.06
2011,cuttack,groundnut,summer,35,30,1297,1.38
2012,cuttack,groundnut,summer,25,32,1787,1.11
2013,cuttack,groundnut,summer,36,31,1458,1.33
2014,cuttack,groundnut,summer,35,29,1404,1.56
2015,cuttack,groundnut,summer,29,30,1288,0.85
2016,cuttack,groundnut,summer,25,31,823,1.18
2017,cuttack,groundnut,summer,27,29,915,1.37
2018,cuttack,groundnut,summer,28,32,264,1.32
2019,cuttack,groundnut,summer,29,32,375,1.98
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,groundnut,winter,46,27,363,1.59
2005,cuttack,groundnut,winter,39,20,95,1.07
2006,cuttack,groundnut,winter,38,24,75,1.14
2007,cuttack,groundnut,winter,100,25,165,1.25
2008,cuttack,groundnut,winter,125,26,70,1.4
2009,cuttack,groundnut,winter,30,21,506,1.15
2010,cuttack,groundnut,winter,4,23,342,1.04
2011,cuttack,groundnut,winter,10,20.8,191,1.3
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,horse-gram,summer,25,29,45,0.28
2005,cuttack,horse-gram,summer,29,29,137,0.25
2006,cuttack,horse-gram,summer,29,30,62,0.24
2007,cuttack,horse-gram,summer,30,29,56,0.33
2008,cuttack,horse-gram,summer,24,31,59,0.28
2009,cuttack,horse-gram,summer,26,28,163,0.35
2010,cuttack,horse-gram,summer,30,31,241,0.39
2011,cuttack,horse-gram,summer,35,30,46,0.4
2012,cuttack,horse-gram,summer,25,32,40,0.35
2013,cuttack,horse-gram,summer,36,31,18,0.51
2014,cuttack,horse-gram,summer,35,29,21,0.46
2015,cuttack,horse-gram,summer,29,30,,
2016,cuttack,horse-gram,summer,25,31,29,0.46
2017,cuttack,horse-gram,summer,27,29,37,0.38
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,horse-gram,winter,46,27,3281,0.41
2005,cuttack,horse-gram,winter,39,20,3304,0.41
2006,cuttack,horse-gram,winter,38,24,3692,0.46
2007,cuttack,horse-gram,winter,100,25,3966,0.47
2008,cuttack,horse-gram,winter,125,26,2542,0.45
2009,cuttack,horse-gram,winter,30,21,3639,0.48
2010,cuttack,horse-gram,winter,4,23,3160,0.42
2011,cuttack,horse-gram,winter,10,20.8,2293,0.43
2012,cuttack,horse-gram,winter,45,21,1620,0.42
2013,cuttack,horse-gram,winter,85,25,1008,0.37
2014,cuttack,horse-gram,winter,40,24,808,0.57
2015,cuttack,horse-gram,winter,30,29,986,0.45
2016,cuttack,horse-gram,winter,10,28,465,0.34
2017,cuttack,horse-gram,winter,16,27,517,0.51
2018,cuttack,horse-gram,winter,35,24,952,0.55
2019,cuttack,horse-gram,winter,10,26,1711,0.55
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,potato,winter,46,27,1513,10.61
2005,cuttack,potato,winter,39,20,1106,12.28
2006,cuttack,potato,winter,38,24,1158,12.31
2007,cuttack,potato,winter,100,25,1325,13.68
2008,cuttack,potato,winter,125,26,1054,11.8
2009,cuttack,potato,winter,30,21,1514,15.12
2010,cuttack,potato,winter,4,23,1055,14.13
2011,cuttack,potato,winter,10,20.8,775,13.4
2012,cuttack,potato,winter,45,21,631,15.3
2013,cuttack,potato,winter,85,25,401,13.34
2014,cuttack,potato,winter,40,24,559,17.63
2015,cuttack,potato,winter,30,29,517,12.98
2016,cuttack,potato,winter,10,28,182,17.95
2017,cuttack,potato,winter,16,27,118,15.99
2018,cuttack,potato,winter,35,24,203,15.66
2019,cuttack,potato,winter,10,26,309,14.93
,,,,,,,
1999,cuttack,sugarcane,winter,40,25,3640,31.1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,sugarcane,winter,46,27,1733,55.02
2005,cuttack,sugarcane,winter,39,20,1308,46.02
2006,cuttack,sugarcane,winter,38,24,2365,55.4
2007,cuttack,sugarcane,winter,100,25,2483,55.82
2008,cuttack,sugarcane,winter,125,26,1603,48.07
2009,cuttack,sugarcane,winter,30,21,1594,51.19
2010,cuttack,sugarcane,winter,4,23,1426,57.62
2011,cuttack,sugarcane,winter,10,20.8,1895,61.58
2012,cuttack,sugarcane,winter,45,21,1957,61.91
2013,cuttack,sugarcane,winter,85,25,2851,61.66
2014,cuttack,sugarcane,winter,40,24,956,71.87
2015,cuttack,sugarcane,winter,30,29,861,71.06
2016,cuttack,sugarcane,winter,10,28,715,69.77
2017,cuttack,sugarcane,winter,16,27,113,67.16
2018,cuttack,sugarcane,winter,35,24,564,60.91
2019,cuttack,sugarcane,winter,10,26,992,53.82
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,moong(green),summer,25,29,30506,0.35
2005,cuttack,moong(green),summer,29,29,29528,0.37
2006,cuttack,moong(green),summer,29,30,23130,0.27
2007,cuttack,moong(green),summer,30,29,34507,0.32
2008,cuttack,moong(green),summer,24,31,26809,0.33
2009,cuttack,moong(green),summer,26,28,30588,0.34
2010,cuttack,moong(green),summer,30,31,35380,0.4
2011,cuttack,moong(green),summer,35,30,35003,0.35
2012,cuttack,moong(green),summer,25,32,33642,0.35
2013,cuttack,moong(green),summer,36,31,20665,0.36
2014,cuttack,moong(green),summer,35,29,27112,0.45
2015,cuttack,moong(green),summer,29,30,30023,0.33
2016,cuttack,moong(green),summer,25,31,29068,0.6
2017,cuttack,moong(green),summer,27,29,16824,0.55
2018,cuttack,moong(green),summer,28,32,19043,0.47
2019,cuttack,moong(green),summer,29,32,32461,0.33
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,moong(green),winter,46,27,1172,0.25
2005,cuttack,moong(green),winter,39,20,1909,0.26
2006,cuttack,moong(green),winter,38,24,1342,0.3
2007,cuttack,moong(green),winter,100,25,1111,0.36
2008,cuttack,moong(green),winter,125,26,822,0.27
2009,cuttack,moong(green),winter,30,21,1566,0.3
2010,cuttack,moong(green),winter,4,23,1294,0.32
2011,cuttack,moong(green),winter,10,20.8,1156,0.28
2012,cuttack,moong(green),winter,45,21,3238,0.34
2013,cuttack,moong(green),winter,85,25,50,0.34
,,,,,,,
,,,,,,,
2016,cuttack,moong(green),winter,10,28,1542,0.38
2017,cuttack,moong(green),winter,16,27,570,0.27
2018,cuttack,moong(green),winter,35,24,211,0.3
2019,cuttack,moong(green),winter,10,26,3388,0.55
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,rapeseed & mustard,winter,46,27,117,0.17
2005,cuttack,rapeseed & mustard,winter,39,20,254,0.15
2006,cuttack,rapeseed & mustard,winter,38,24,68,0.2
2007,cuttack,rapeseed & mustard,winter,100,25,283,0.26
2008,cuttack,rapeseed & mustard,winter,125,26,147,0.2
2009,cuttack,rapeseed & mustard,winter,30,21,94,0.28
2010,cuttack,rapeseed & mustard,winter,4,23,113,0.25
2011,cuttack,rapeseed & mustard,winter,10,20.8,30,0.31
2012,cuttack,rapeseed & mustard,winter,45,21,80,0.33
2013,cuttack,rapeseed & mustard,winter,85,25,10,0.25
2014,cuttack,rapeseed & mustard,winter,40,24,4,0.33
2015,cuttack,rapeseed & mustard,winter,30,29,3,0.4
2016,cuttack,rapeseed & mustard,winter,10,28,108,0.28
2017,cuttack,rapeseed & mustard,winter,16,27,11,0.74
2018,cuttack,rapeseed & mustard,winter,35,24,32,0.5
2019,cuttack,rapeseed & mustard,winter,10,26,8,0.33
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,cuttack,jute,autumn,210,29,836,11.7
2005,cuttack,jute,autumn,250,30,889,11.64
2006,cuttack,jute,autumn,280,28,1907,12.34
2007,cuttack,jute,autumn,259,27,1325,13.43
2008,cuttack,jute,autumn,279,29,614,9.51
2009,cuttack,jute,autumn,300,30,944,12.69
2010,cuttack,jute,autumn,351,31,823,14.59
2011,cuttack,jute,autumn,210,30,841,12.34
2012,cuttack,jute,autumn,240,30,312,2.09
2013,cuttack,jute,autumn,269,29,264,2.25
2014,cuttack,jute,autumn,274,28,133,1.45
2015,cuttack,jute,autumn,236,30,248,2.08
2016,cuttack,jute,autumn,245,28,7,1.93
2017,cuttack,jute,autumn,308,29,108,2.64
2018,cuttack,jute,autumn,310,30,2,1.35
2019,cuttack,jute,autumn,300,29,20,1.82
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,groundnut,autumn,350,30,2933,0.83
2005,angul,groundnut,autumn,230,29,3610,0.87
2006,angul,groundnut,autumn,289,31,2666,0.93
2007,angul,groundnut,autumn,360,29,2838,0.82
2008,angul,groundnut,autumn,256,28,2603,0.95
2009,angul,groundnut,autumn,333,31,3375,0.84
2010,angul,groundnut,autumn,313,30,2285,0.92
2011,angul,groundnut,autumn,301,29,1923,0.97
2012,angul,groundnut,autumn,258,28,3043,1.08
2013,angul,groundnut,autumn,225,29,1342,1.13
2014,angul,groundnut,autumn,220,30,1829,1.29
2015,angul,groundnut,autumn,236,31,1259,1.14
2016,angul,groundnut,autumn,225,30,1235,1.04
2017,angul,groundnut,autumn,214,29,1051,1.14
2018,angul,groundnut,autumn,332,28,604,1.45
2019,angul,groundnut,autumn,310,29,515,2.08
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,groundnut,summer,35,25,795,1.26
2005,angul,groundnut,summer,29,29,1500,1.18
2006,angul,groundnut,summer,30,30,1531,1.28
2007,angul,groundnut,summer,31,31,835,1.2
2008,angul,groundnut,summer,32,32,903,1.2
2009,angul,groundnut,summer,35,25,580,1.18
2010,angul,groundnut,summer,36,25,489,1.21
2011,angul,groundnut,summer,35,28,212,1.05
2012,angul,groundnut,summer,36,26,301,1.31
2013,angul,groundnut,summer,29,32,181,1.34
2014,angul,groundnut,summer,35,32,210,1.6
2015,angul,groundnut,summer,31,31,339,1.52
2016,angul,groundnut,summer,28,30,699,1.69
2017,angul,groundnut,summer,36,29,1083,1.42
2018,angul,groundnut,summer,30,31.5,491,1.5
2019,angul,groundnut,summer,31,32,738,2.14
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,groundnut,winter,28,25,392,1.18
2005,angul,groundnut,winter,27,22,194,0.92
2006,angul,groundnut,winter,30,22,360,1.18
2007,angul,groundnut,winter,31,21,56,1.06
2008,angul,groundnut,winter,29,25,89,1.4
2009,angul,groundnut,winter,30.5,28,245,1.53
2010,angul,groundnut,winter,32.1,27,252,1.05
2011,angul,groundnut,winter,35,26,287,1.22
2012,angul,groundnut,winter,30,28,154,1.52
2013,angul,groundnut,winter,28,22,371,1.42
2014,angul,groundnut,winter,26,22,382,1.29
2015,angul,groundnut,winter,28,21,4,0.63
2016,angul,groundnut,winter,30,20,12,1.23
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,horse-gram,winter,28,25,4677,0.25
2005,angul,horse-gram,winter,27,22,4134,0.24
2006,angul,horse-gram,winter,30,22,4224,0.27
2007,angul,horse-gram,winter,31,21,3146,0.24
2008,angul,horse-gram,winter,29,25,3850,0.24
2009,angul,horse-gram,winter,30.5,28,4443,0.32
2010,angul,horse-gram,winter,32.1,27,4450,0.29
2011,angul,horse-gram,winter,35,26,3886,0.27
2012,angul,horse-gram,winter,30,28,2927,0.34
2013,angul,horse-gram,winter,28,22,2157,0.34
2014,angul,horse-gram,winter,26,22,2229,0.37
2015,angul,horse-gram,winter,28,21,1344,0.34
2016,angul,horse-gram,winter,30,20,1210,0.41
2017,angul,horse-gram,winter,30,25,1319,0.4
2018,angul,horse-gram,winter,31,24,1215,0.38
2019,angul,horse-gram,winter,30,23,480,0.39
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,maize ,autumn,350,30,1148,0.72
2005,angul,maize ,autumn,230,29,960,0.77
2006,angul,maize ,autumn,289,31,965,0.7
2007,angul,maize ,autumn,360,29,984,0.65
2008,angul,maize ,autumn,256,28,879,0.66
2009,angul,maize ,autumn,333,31,744,0.56
2010,angul,maize ,autumn,313,30,965,0.89
2011,angul,maize ,autumn,301,29,869,0.87
2012,angul,maize ,autumn,258,28,1139,0.97
2013,angul,maize ,autumn,225,29,482,1.02
2014,angul,maize ,autumn,220,30,560,0.99
2015,angul,maize ,autumn,236,31,472,1.16
2016,angul,maize ,autumn,225,30,490,1.17
2017,angul,maize ,autumn,214,29,376,1.28
2018,angul,maize ,autumn,332,28,247,2.31
2019,angul,maize ,autumn,310,29,397,2.93
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,maize,summer,35,25,15,1.25
2005,angul,maize,summer,29,29,11,1.25
2006,angul,maize,summer,30,30,15,1.36
2007,angul,maize,summer,31,31,27,1.27
2008,angul,maize,summer,32,32,23,1.38
2009,angul,maize,summer,35,25,23,1.1
2010,angul,maize,summer,36,25,9,1.37
2011,angul,maize,summer,35,28,10,1.36
2012,angul,maize,summer,36,26,6,1.78
2013,angul,maize,summer,29,32,26,1.67
2014,angul,maize,summer,35,32,16,1.72
2015,angul,maize,summer,31,31,10,1.54
2016,angul,maize,summer,28,30,19,1.84
2017,angul,maize,summer,36,29,16,1.82
2018,angul,maize,summer,30,31.5,52,2.83
2019,angul,maize,summer,31,32,1,2.4
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,maize,winter,28,25,19,1.35
2005,angul,maize,winter,27,22,19,1.45
2006,angul,maize,winter,30,22,15,1.41
2007,angul,maize,winter,31,21,23,1.31
2008,angul,maize,winter,29,25,8,1.5
2009,angul,maize,winter,30.5,28,36,1.41
2010,angul,maize,winter,32.1,27,8,2.1
2011,angul,maize,winter,35,26,10,2.04
2012,angul,maize,winter,30,28,9,1.63
2013,angul,maize,winter,28,22,38,1.81
2014,angul,maize,winter,26,22,14,2.11
,,,,,,,
2016,angul,maize,winter,30,20,6,1.67
2017,angul,maize,winter,30,25,12,1.89
2018,angul,maize,winter,31,24,2,1.65
2019,angul,maize,winter,30,23,12,2.73
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,potato,winter,28,25,576,9.23
2005,angul,potato,winter,27,22,503,9
2006,angul,potato,winter,30,22,470,9.36
2007,angul,potato,winter,31,21,606,9.04
2008,angul,potato,winter,29,25,599,10.66
2009,angul,potato,winter,30.5,28,721,10.86
2010,angul,potato,winter,32.1,27,423,10.96
2011,angul,potato,winter,35,26,557,8.98
2012,angul,potato,winter,30,28,446,10.16
2013,angul,potato,winter,28,22,443,10.63
2014,angul,potato,winter,26,22,550,11.5
2015,angul,potato,winter,28,21,430,10.28
2016,angul,potato,winter,30,20,576,11.44
2017,angul,potato,winter,30,25,429,12.39
2018,angul,potato,winter,31,24,520,12.29
2019,angul,potato,winter,30,23,394,12.66
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,ragi,autumn,350,30,6,0.43
2005,angul,ragi,autumn,230,29,79,0.48
2006,angul,ragi,autumn,289,31,185,0.47
2007,angul,ragi,autumn,360,29,20,0.49
2008,angul,ragi,autumn,256,28,9,0.51
2009,angul,ragi,autumn,333,31,7,0.44
2010,angul,ragi,autumn,313,30,4,0.55
2011,angul,ragi,autumn,301,29,3,0.57
2012,angul,ragi,autumn,258,28,2,0.65
,,,,,,,
2014,angul,ragi,autumn,220,30,1,0.6
2015,angul,ragi,autumn,236,31,1,0.7
2016,angul,ragi,autumn,225,30,5,0.7
2017,angul,ragi,autumn,214,29,0,0
2018,angul,ragi,autumn,332,28,1,1.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,sesamum,autumn,350,30,1270,0.16
2005,angul,sesamum,autumn,230,29,308,0.11
2006,angul,sesamum,autumn,289,31,1603,0.2
2007,angul,sesamum,autumn,360,29,1714,0.17
2008,angul,sesamum,autumn,256,28,922,0.13
2009,angul,sesamum,autumn,333,31,794,0.16
2010,angul,sesamum,autumn,313,30,1048,0.21
2011,angul,sesamum,autumn,301,29,955,0.2
2012,angul,sesamum,autumn,258,28,768,0.23
2013,angul,sesamum,autumn,225,29,344,0.24
2014,angul,sesamum,autumn,220,30,1017,0.29
2015,angul,sesamum,autumn,236,31,326,0.31
2016,angul,sesamum,autumn,225,30,388,0.32
2017,angul,sesamum,autumn,214,29,575,0.34
2018,angul,sesamum,autumn,332,28,407,0.68
2019,angul,sesamum,autumn,310,29,741,0.46
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,sesamum,summer,35,25,310,0.21
2005,angul,sesamum,summer,29,29,153,0.2
2006,angul,sesamum,summer,30,30,433,0.22
2007,angul,sesamum,summer,31,31,655,0.25
2008,angul,sesamum,summer,32,32,279,0.22
2009,angul,sesamum,summer,35,25,138,0.2
2010,angul,sesamum,summer,36,25,255,0.26
2011,angul,sesamum,summer,35,28,342,0.26
2012,angul,sesamum,summer,36,26,175,0.28
2013,angul,sesamum,summer,29,32,104,0.28
2014,angul,sesamum,summer,35,32,74,0.36
2015,angul,sesamum,summer,31,31,93,0.29
2016,angul,sesamum,summer,28,30,101,0.36
2017,angul,sesamum,summer,36,29,116,0.52
2018,angul,sesamum,summer,30,31.5,11,0.37
2019,angul,sesamum,summer,31,32,7,0.27
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,sesamum,winter,28,25,3877,0.17
2005,angul,sesamum,winter,27,22,4329,0.19
2006,angul,sesamum,winter,30,22,3735,0.16
2007,angul,sesamum,winter,31,21,2313,0.14
2008,angul,sesamum,winter,29,25,1706,0.15
2009,angul,sesamum,winter,30.5,28,2690,0.19
2010,angul,sesamum,winter,32.1,27,2102,0.18
2011,angul,sesamum,winter,35,26,1008,0.15
2012,angul,sesamum,winter,30,28,1352,0.2
2013,angul,sesamum,winter,28,22,1213,0.2
2014,angul,sesamum,winter,26,22,679,0.23
2015,angul,sesamum,winter,28,21,571,0.17
2016,angul,sesamum,winter,30,20,341,0.24
2017,angul,sesamum,winter,30,25,336,0.27
2018,angul,sesamum,winter,31,24,360,0.26
2019,angul,sesamum,winter,30,23,123,0.19
,,,,,,,
1999,angul,sugarcane,winter,32,28,1200,61.63
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,sugarcane,winter,28,25,148,54.37
2005,angul,sugarcane,winter,27,22,180,53.59
2006,angul,sugarcane,winter,30,22,120,58.9
2007,angul,sugarcane,winter,31,21,180,59.86
2008,angul,sugarcane,winter,29,25,112,57.73
2009,angul,sugarcane,winter,30.5,28,57,52.78
2010,angul,sugarcane,winter,32.1,27,107,51.76
2011,angul,sugarcane,winter,35,26,61,50.26
2012,angul,sugarcane,winter,30,28,75,55.56
2013,angul,sugarcane,winter,28,22,42,55.12
2014,angul,sugarcane,winter,26,22,43,48.84
2015,angul,sugarcane,winter,28,21,10,57.02
2016,angul,sugarcane,winter,30,20,38,52.54
2017,angul,sugarcane,winter,30,25,20,44.59
2018,angul,sugarcane,winter,31,24,19,45.75
2019,angul,sugarcane,winter,30,23,6,58.57
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,urad,autumn,350,30,2233,0.17
2005,angul,urad,autumn,230,29,2764,0.18
2006,angul,urad,autumn,289,31,2682,0.18
2007,angul,urad,autumn,360,29,3414,0.17
2008,angul,urad,autumn,256,28,2724,0.2
2009,angul,urad,autumn,333,31,2715,0.16
2010,angul,urad,autumn,313,30,2914,0.18
2011,angul,urad,autumn,301,29,2458,0.19
2012,angul,urad,autumn,258,28,1992,0.19
2013,angul,urad,autumn,225,29,1315,0.27
2014,angul,urad,autumn,220,30,1509,0.28
2015,angul,urad,autumn,236,31,1291,0.33
2016,angul,urad,autumn,225,30,1452,0.36
2017,angul,urad,autumn,214,29,1803,0.39
2018,angul,urad,autumn,332,28,1066,0.44
2019,angul,urad,autumn,310,29,839,0.41
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2004,angul,urad,summer,35,25,154,0.24
2005,angul,urad,summer,29,29,29,0.13
2006,angul,urad,summer,30,30,76,0.28
2007,angul,urad,summer,31,31,107,0.29
2008,angul,urad,summer,32,32,98,0.2
2009,angul,urad,summer,35,25,189,0.21
2010,angul,urad,summer,36,25,89,0.27
2011,angul,urad,summer,35,28,18,0.27
2012,angul,urad,summer,36,26,11,0.4
